Name,District,State,Address,Contact Number,Contact number 2,Location:latitude ,Location: longitude
Kheroni Police Station,West Karbi- Anglong,Assam,"RVXR+H99, Kheroni, Assam 782448",8812858560,9435180614,25.8489336870506,92.8909945200532
Zirikinding police station,West Karbi- Anglong,Assam,"MM8V+HW, Zirikinding, Assam 788931",9365000627,9859273736,25.6664505109918,92.6948128060353
Hojai Police Station,Hojai,Assam,"XVX2+PQX, Hojai, Assam 782435",6026900660,3674248100,25.9993610457018,92.8519705574368
Lumding police station,Hojai,Assam,"Q52G+X4R, Lumding, Assam 782447",3674255430,6026900663,25.7525112951178,93.1752603201102
Lanka Police Station,Hojai,Assam,"WX92+G8M, Nagaon Rd, Lankapatri, Lanka, Assam 782446",3674255430,6026900660,25.9189048177818,92.9509252170300
Murazar Police Station,Hojai,Assam,"Murajhar, Charenghi Pathar, Assam 782440",6026900664,,26.0659868366680,92.9813740573015
Jamunamukh police station,Hojai,Assam,"6W2Q+62W, Parokhuwa, Assam 782135",6026900660,,26.2006130025434,92.9375741139745
Doboka Police Station,Hojai,Assam,"4V66+R3C, Thana Rd, Doboka Town, Assam 782440",3674261433,6026900659,26.1120814532086,92.8601503687685
Diphu Police Station,Karbi-Anglong,Assam,"RCQH+XF7, Thana Road, P.H.E. Colony, Diphu, Assam 782460",3671272253,9957525919,25.8399211217223,93.4286682799881
Bokajan Police Station,Karbi-Anglong,Assam,"2QF9+VXC, Bokajan, Sukhanjan, Assam 782480",9435109891,,26.0246738914357,93.7699205551052
Howraghat Police station,Karbi-Anglong,Assam,"426M+8VJ, Howraghat, Assam 782481",8939140254,7002013848,26.1108537001863,93.0346393767294
Bakalia Police Station,Karbi-Anglong,Assam,"324, Irrigation Colony, Bokolia, Assam 782482",9954729261,,26.0525592168669,93.2012498698470
Barpathar Police Station,Karbi-Anglong,Assam,"7VJV+7RV, Ward Number 3, Kalyani Para, Barpathar, Assam 785602",7399965930,9435191518,26.2807310720744,93.8945571626573
Borlangfer Police Station,Karbi-Anglong,Assam,"Q64X+WRP, Khristan Basti, Assam 782447",8638526182,,25.7573511164868,93.2495931611187
Dillai Police Station,Karbi-Anglong,Assam,"XH5P+WQ2, Assam 782490",6001070054,8876705335,25.9597776079144,93.5868812263727
Manja Police Station,Karbi-Anglong,Assam,"XCCP+7MC, State Bank Colony, Manja, Assam 782461",8761833833,,25.9706868524869,93.4366765230440
Anjokpani Police Station,Karbi-Anglong,Assam,"F32J+H75, Lang Khang, Assam 782139",7002378078,,26.4514599656179,93.0807613674629
Deithor Police Station,Karbi-Anglong,Assam,"SH 35, Silonijan, Karbi Anglong District, Assam, 782490",9401154309,,26.5770644133190,93.7241330428209
Khatkhati Police Station,Karbi-Anglong,Assam,"XP3R+CF9, Khatkhati, Assam 782490",9435315100,,25.9535063522467,93.7411710046617
Dolamara Police Station,Karbi-Anglong,Assam,"Dolamara Police Station, SH 35, Silonijan, Karbi Anglong District, Assam, 782490",9401662753,7002323522,26.5783930657020,93.5546861603246
Chokihola Police Station,Karbi-Anglong,Assam,"Balijan Santilangso Road, Silonijan, Karbi Anglong District, Assam, 782475",9401235992,,26.4277716633691,93.7575039279371
"Police Station, Dokmoka",Karbi-Anglong,Assam,"1, AH1, Ward No-2, Dokmoka, Assam 782441",7002481021,,26.2102720032351,93.0553245047807
Rongmongve police station,Karbi-Anglong,Assam,"G7H7+J43, Unnamed Road, Jakhalabandha, Assam 782136",8011747603,,26.5290322268374,93.2628276517069
Karimganj Police Station,Karimganj,Assam,"Karimganj Town, Sribhumi, Assam 788710",7002045183,,24.8674621138819,92.3569143695522
Ratabari Police Station,Karimganj,Assam,"HC66+2W2, Ratabari Rd, Karimganj, Basattihal, Assam 788735",3843279229,8812928616,24.5600700240114,92.4122762578806
Badarpur Police Station,Karimganj,Assam,"VHC4+4V6, Chapra, Assam 788806",9435155216,,24.8702822714379,92.5571551960479
