Name,District,State,Address,Contact Number,Contact number 2,Location:latitude ,Location: longitude
Dispur Police Station,Kamrup Metropolitan,Assam,"Dispur police station, Infront of, Gopal Bodo Higher Secondary School, Dr RP Rd, Ganeshguri, Guwahati, Assam 781006",9435027424,,26.1475119342436,91.7857780194708
Panbazar Police Station,Kamrup Metropolitan,Assam,"5PMR+W9P, Pan Bazaar, Guwahati, Assam 781001",3612540106,9435208307,26.1848412605480,91.7409387970270
Bharalumukh Police Station,Kamrup Metropolitan,Assam,"535, Assam Trunk Rd, Devagiri, Near State Bank Of India, Assam Trunk Rd, Devagiri, Near State Bank Of India, Bharalumukh, Guwahati, Assam 781009",9435203047,,26.1732220140292,91.7298320876756
Basistha Police Station,Kamrup Metropolitan,Assam,"4Q6V+WX6, Basistha Rd, Charali, Kundil Nagar, Guwahati, Assam 781029",3612302158,9435089137,26.1122983627856,91.7950406962232
Hatigaon Police Station,Kamrup Metropolitan,Assam,"4QGP+JPF, Hatigaon - Beltola Sanjogi Path, Hatigaon, Guwahati, Assam 781038",3612450555,9435123487,26.1265745318966,91.7867925738142
Khetri Police Station,Kamrup Metropolitan,Assam,"NH 37, Aujuri No 3, Sonapur, Kamrup Metropolitan District, Assam, 782403",9101924780,9435401343,26.1141740419545,92.0819880824143
Bhangagarh Police Station,Kamrup Metropolitan,Assam,"5Q59+WW7 G.M.C.H. Complex, Bhangagarh, Guwahati, Assam 781032",3612461756,7002310658,26.1605292714606,91.7679200529974
Chandmari Police Station,Kamrup Metropolitan,Assam,"6C, Maniram Dewan Rd, Chandmari Colony, Nizarpar, Krishna Nagar, Chandmari, Guwahati, Assam 781003",8133005500,,26.1850733187080,91.7710241722677
Noonmati Police Station,Kamrup Metropolitan,Assam,"5RM3+G6Q Shiv Mandir, Maniram Dewan Rd, Sector 2, Jayanta Nagar, Noonmati, Guwahati, Assam 781020",3612550281,7575975381,26.1838474753636,91.8030844157414
Geetanagar Police Station,Kamrup Metropolitan,Assam,"5QFJ+39F, Mother Teresa Rd, Zoo Rd, Geeta Nagar, Narengi Tinali, Guwahati, Assam 781024",3612417323,9435108324,26.1727170988631,91.7809295793579
Paltan Bazar Police Station,Kamrup Metropolitan,Assam,"5QJ2+FC2, Assam Trunk Rd, Paltan Bazaar, Guwahati, Assam 781008",3612540126,7002530174,26.1811628494740,91.7510297487294
Latasil Police Station,Kamrup Metropolitan,Assam,"F Bora Road, Digholi Pukhuri, Guwahati, Assam, 781001",3612540136,9435121113,26.1899936713353,91.7522188989289
Jalukbari Police Station,Kamrup Metropolitan,Assam,"5M5W+RCX, Maligaon Chariali, Maligaon, Guwahati, Assam 781012",3612570522,9435152338,26.1596374067427,91.6961122597696
Fatasil Ambari Police Station,Kamrup Metropolitan,Assam,"5P5Q+VR9 Sri Laxmi Narayan Mandir, Fayal Ahmed Rd, Binowa Nagar, Kala Pahar, Guwahati, Assam 781018",3612471412,9435010746,26.1596760531336,91.7395979390536
Azara Police Station,Kamrup Metropolitan,Assam,"4J87+CVH, Azara, Guwahati, Mikir Para Chakardoi, Assam 781017",9435286275,,26.1160731655763,91.6147346256739
Gorchuk Police Station,Kamrup Metropolitan,Assam,"4P85+CXG, NH 27, GARCHUK, Guwahati, Assam 781035",3612270151,9864125719,26.1160702946198,91.7099554449615
Satgaon Police Station,Kamrup Metropolitan,Assam,"5R8J+23C, Satgaon Main Road, Sonai Mikir Path, Satgaon, Guwahati, Assam 781171",3612642018,9435117358,26.1650738249478,91.8300758525944
Sonapur Police Station,Kamrup Metropolitan,Assam,"4X99+7RV, Sonapur Bazar Rd, Rewa N.C., Assam 782402",9678358240,,26.1182635228116,91.9695562856730
Silchar Sadar Police Station,Cachar,Assam,"Fatak Bazaar Road, Kanakpur, Fatak Bazaar, Silchar, Assam, 788001",3842246279,7896817123,24.8231595283860,92.8018097205818
Lakhipur Police Station,Cachar,Assam,"Lakhipur Police Station, Silchar - Hailakandi Road, Lakhipur, Cachar, Assam, 788116",3841287425,9435178641,24.7922342843443,93.0028179109552
Udharbond police station,Cachar,Assam,"Durga Nagar Part 5, Udharbond, Cachar, Assam,788030",3841281424,8753929399,24.8802957555498,92.8813079732317
Katigorah Police Station,Cachar,Assam,"Katigorh Point 3, Niz Katigorah Pt 3, Assam, 788805",3842268175,9401751167,24.8764952541921,92.5747447490467
BORKHOLA Police Station,Cachar,Assam,"Chesri, Borkhola Bazaar, Silchar, Cachar District, Assam, 788110",7002630182,,24.9284636911125,92.7468854584481
Dholai Police Station,Cachar,Assam,"Dholai Bazar, Sadagram, Sonai, Cachar District, Assam, 788114",9706059119,,24.5896220524403,92.8398044139692
Sonai Police Station,Cachar,Assam,"CA MD 1, Sonai, Cachar District, Assam, 788119",3842274424,9435070900,24.7343765372516,92.8905889876493
Jirighat Police Station,Cachar,Assam,"NH 37, Lakhipur, Cachar District, Assam, 788104",9435151966,,24.8085249571739,93.1075465449321
Joypur Police Station,Cachar,Assam,"Joypur Police Station, Cachar, 788107",7002191323,,24.8727021225056,93.0646383762522
Kachudaram Police Station,Cachar,Assam,"Dakshin Mohanpur Part 6, Sonai, Cachar District, Assam, 788119",9365178063,,24.6711816024098,92.9339797328686
Ghungur Police Station,Cachar,Assam,"Masimpur, Silchar, Assam 788014",9678746354,,24.7780608394657,92.7936186394494
Jorhat Sadar Police Station,Jorhat,Assam,"Q646+2G5, Mahatma Gandhi Rd, opp. Nokia Care, Atilagaon, Jorhat, Assam 785001",9435208307,,26.7550193922667,94.2113780073430
Pulibor Police Station,Jorhat,Assam,"Bhatemora Gaon, Jorhat, Assam, 785006",9954266730,,26.7115080000997,94.1252775901516
Mariani Police Station,Jorhat,Assam,"Mariani Main Road, Mariani, Assam, 785634",9954810373,,26.6537131079187,94.3190644171379
Teok Police Station,Jorhat,Assam," Assam Trunk Rd, Teok, Assam 785112",9954991479,,26.8313851067670,94.4158324923130
Titabor Police Station,Jorhat,Assam,"CT Road, Titabor Town, Assam, 785630",8638712592,,26.6027580033263,94.2054200807938
Borholla Police Station,Jorhat,Assam,"Titabor-Barhola-Nagabat Road, Borholla, Assam 785631",9401662306,,26.4516907355609,94.1345461363727
Bhogamukh Police Station,Jorhat,Assam,"Bhogamukh police station, Tamuli Gaon, Assam 785682",9435691905,,26.9142240369042,94.4784156830269
Pulibor Police Station,Jorhat,Assam,"Bhatemora Gaon, Jorhat, Assam, 785006",9954266730,,26.7115070028920,94.1252826762225
Nimati ghat police out post,Jorhat,Assam,"R6JV+JGH, Kumar Gaon, Assam 785101",9435215122,,26.8315625793387,94.2438616520155
Mangaldoi Police Station,Darrang,Assam,"C2PH+PR9, NH 15, Mangaldoi, Kowar Para, Assam 784125",9435012343,7002513378,26.4367687966364,92.0295939016819
sipajhar police station,Darrang,Assam,"9VRV+4H6, National Highway 52, Sipajhar, Assam 784145",9401488848,,26.3902997036956,91.8938918491744
Dalgaon Police Station,Darrang,Assam,"Dalgaon Jhakuapara Road, Dalgaon, Darrang,784116",9435012793,,26.5566878712744,92.2010019802678
Dhula Police Station,Darrang,Assam,"52, National Highway, No.2 Mazgaon, Assam 784146",9706040485,7002811474,26.4867731371097,92.0936362401319
Kharupetia Police Station,Darrang,Assam,"G5C3+XRP, Netaji Nagar Rd, Netaji Nagar, Kharupetia, Niz Kharupetia, Assam 784115",9957270727,,26.5224694765707,92.1545809844319
Shyampur Police Station,Darrang,Assam,"F6X8+3Q3, Assam 784115",8011425182,7002436119,26.4976486907545,92.2169358920885
Burha Police Outpost,Darrang,Assam,"FQ2Q+MFF, Balikuchi, Assam 784148",9401794357,7086181269,26.4516932933977,91.7886899906179
Sonari Police Station,Charaideo,Assam,"22G9+H9J, Dhodar Ali Rd, Sonari, Assam 785690",9435153037,,27.0264624357377,95.0184002529546
Mathurapur Police Station,Charaideo,Assam,"XWF5+PCW, No.101 F.S Grant, Assam 785689",7002200188,,26.9745602535419,94.9088921340703
Kakotibari Police Station,Charaideo,Assam,"32PH+5F4, Kakotibari, Bhojo, Assam 785691",7002721973,9435614323,27.0853967902561,95.0287065355728
Moranhat Police Station,Charaideo,Assam,"5WH7+53F, Kaalibaari, Moranhat Town, Moranhat, Assam 785670",9435413556,,27.1779505976326,94.9126546224951
Police Station Namtola,Charaideo,Assam,"X355+82C, Towkok Grant No.2, Assam 785690",7086844731,,26.9583107170287,95.0575344599956
Police Station Sapekhati,Charaideo,Assam,"35X6+9FC, Timon Bortani, Assam 785692",8638233944,,27.0984647559052,95.1611770576307
Charaipung Police station,Charaideo,Assam,"368Q+5W5, Charaipung No.2, Assam 785692",8011451679,,27.0654132383818,95.2398987555069
Borhat police station,Charaideo,Assam,"577M+C67, Nagakata Balamia, Assam 785693",8011426172,,27.1635814028063,95.2830374820492
Bongaigaon Police Station,Bongaigaon,Assam,"T R Phukan Road, North Bongaigaon, Bongaigaon - 783380",9678592900,,26.4763583101392,90.5649123681225
Manikpur Police Station,Bongaigaon,Assam,"Borbila, Manikpur, Bongaigaon, Assam, 783392",3668264320,9435326769,26.4729564281199,90.8003394149459
ABHAYAPURI POLICE STATION,Bongaigaon,Assam,"Abhayapuri Main Road, Abhayapuri, Assam, 783384",9435027808,,26.3424367552835,90.6583231294303
Jogighopa Police Station,Bongaigaon,Assam,"Jogighopa New Police Station, NH 17, Boitamari, Bongaigaon District, Assam,783382 ",9435012365,,26.2382937376963,90.5766826358716
Mererchar Police Station,Bongaigaon,Assam,"Mererchar Police Station, Srijangram, Bongaigaon District, Assam, 783384",8638195311,,26.3186388433208,90.7798197873871
OUT POST SALABILA,Bongaigaon,Assam,"Salabila Nagribazar Road, Manikpur, Bongaigaon District, Assam, 783392",9957089139,,26.4505212369709,90.7698971711966
North Salmara Police Outpost,Bongaigaon,Assam,"9J8J+MF6, Kali Mandir Rd, Abhayapuri, Uttar Salmara Pt II, Assam 783383",7002559738,,26.3666668949960,90.6311576036723
Barpeta Police Station,Barpeta,Assam,"Barpeta Doulashal Hajo Road, Barpeta, Assam, 781301",9435021527,,26.3304395700867,91.0083761582925
Howly Police Station,Barpeta,Assam," Howli Police Station, Barpeta District, Howli, Assam, 781316",8474857860,,26.4279565886496,90.9688388681775
Barpeta Road Police Station,Barpeta,Assam,"Barpeta Rd, opp. Police Station, Maj Gaon, Majgaon, Barpeta Road, Assam 781315",9401227169,9706107169,26.4978861160727,90.9684946406962
Sorbhog Police Station,Barpeta,Assam,"Sorbhog Main Road, Sarbhog, Assam, 781317",9435025351,,26.4899596465739,90.8872871903540
Kalgachia Police Station,Barpeta,Assam,"Kalgachia, Barpeta District, Assam,781319",9954691659,,26.3560958549975,90.8700741253852
Tarabari Police Station,Barpeta,Assam,"744P+79H, Bahari, Assam 781302",9401600570,,26.2557103794977,91.1359965672446
BAGHBAR POLICE STATION,Barpeta,Assam,"Baghbor, Barpeta District, Assam, 781308",7577024283,,26.2134100009770,90.8524127412265
Patacharkuchi Police Station,Barpeta,Assam,"National Highway, Patacharkuchi, Barpeta, Assam, with the pin code 781326",9957510900,,26.5063806708343,91.2357345058185
Sarthebari Police Station,Barpeta,Assam,"96C2+JXW, Kurihar Pam, Assam 781307",9859966373,,26.3716366202322,91.2024334334648
Kachumara Police Station,Barpeta,Assam,"43W4+PXQ, Barpeta, Assam 781127",7002123541,,26.1468482167969,91.0574393435627
Bijni Police Station,Chirang,Assam,"Bijni Police Station, District Chirang, BTAD, Bijni, Assam, 783390 ",3668284642,,26.4964085471747,90.7047362683392
Dhaligaon Police Station,Chirang,Assam,"GM St, BGR Twp, Dhaligaon Pt, Assam 783385",3664241262,,26.5083470864498,90.5260780903555
Basugaon Police Station,Chirang,Assam,"FC79+XXW, Basugaon, Assam 783372",3661281226,,26.4650119748160,90.4199605162382
Sidli Police Station,Chirang,Assam,"GFP2+5XC, Namalpur, Assam 783373",3664294394,,26.5354642764577,90.4524010106075
Amguri Police Station,Chirang,Assam,"JHP9+WQJ, Amguri, Assam 783393",9957231564,,26.6373356314314,90.5694110389149
Runikhata Police Station,Chirang,Assam,"M9P6+FRP, Bhurpara, Assam 783375",3664294473,,26.6862227401909,90.3620635074720
Dhemaji Police Station,Dhemaji,Assam,"FHG7+P2J, Ram Nagar, Dhemaji, Assam 787057",9401961156,,27.4768310926138,94.5625279538771
