name,address,phone,website,plus_code,lat,lon,result_index
St. Mary's Sr. Secondary School,"St. Marys Convent Building, Nambari Railway Officers Colony, Maligaon, Guwahati, Assam 781011",0361 267 0489,stmarysmaligaon.in,"4MWP+PM Guwahati, Assam",,,1
Capital Public School,"Assam Trunk Road Adabari, Pandav Nagar, Boripara, Maligaon, Guwahati, Assam 781012",0361 267 6748,capitalpublicschool.in,"5M6Q+45 Guwahati, Assam",,,2
Skylark Public School,"5P42+RGF, Maligaon West, Maligaon, Guwahati, Assam 781011",078965 07297,,5P42+RGF,,,3
Don Bosco Technical School,"4MWP+8PM, PNGB Rd, Nambari Railway Officers Colony, Gotanagar, Maligaon, Guwahati, Assam 781011",084040 40944,dbmaligaon.org,4MWP+8PM,,,4
Kendriya Vidyalaya Maligaon,"K.V, NE Frontier Railway, Adarsha Colony, Maligaon, Guwahati, Assam 781011",0361 267 0796,maligaon.kvs.ac.in,"5M4R+4F Guwahati, Assam",,,5
St. Joseph English School,"Adinggiri Hills, Adamgiri, East Gota Nagar, Maligaon, Guwahati, Assam 781011",,,"5P27+XF Guwahati, Assam",,,6
St. Vivekananda English Academy,"BG Colony, Maligaon, Guwahati, Assam 781011",070024 27979,stvea.in,"5M2P+J9 Guwahati, Assam",,,7
e Kids World International Std. Preschool & Daycare,"Ashirbad Bhawan, 2, Assam Trunk Rd, Pandav Nagar, Boripara, Maligaon, Guwahati, Assam 781012",084864 47732,ekidsworldpreschool.in,"5M5Q+JP Guwahati, Assam",,,8
Sri Satyam Senior Secondary School,"Assam Trunk Rd, Pandav Nagar, Adabari, Guwahati, Assam 781012",099542 95618,,"5M5P+PM Guwahati, Assam",,,9
